sources,species
GBIF,CAPILLARIA CONTORTA
USNPC,CAPILLARIA CONTORTA
GBIF,CAPILLARIA TENUISSIMA
GBIF,CARIOS VESPERTILIONIS
GBIF,CENTROCESTUS FORMOSANUS
GBIF,CEPHALURIS COLORADENSIS
USNPC,CEPHALURIS COLORADENSIS
GBIF,CERATOPHYLLUS FARRENI
GBIF,CERATOPHYLLUS GALLINAE
GBIF,CERATOPHYLLUS GAREI
GBIF,CERATOPHYLLUS HIRUNDINIS
GBIF,CERATOPHYLLUS STYX
GBIF,CHABERTIA OVINA
USNPC,CHABERTIA OVINA
BeeMites,CHAETODACTYLUS KROMBEINI
GBIF,CHAETODACTYLUS KROMBEINI
BeeMites,CHAETODACTYLUS MICHENERI
BeeMites,CHAETODACTYLUS SP.
GBIF,CHEILOSPIRURA HAMULOSA
USNPC,CHEILOSPIRURA HAMULOSA
GBIF,CICHLASOTREMA UJATI
GBIF,CITELLINEMA BIFURCATUM
USNPC,CITELLINEMA BIFURCATUM
USNPC,CITTOTAENIA VARIABILIS
GBIF,CLARKUS PAPILLATUS
GBIF,CLINOSTOMUM COMPLANATUM
USNPC,CLINOSTOMUM COMPLANATUM
GBIF,CLONORCHIS SINENSIS
USNPC,CLONORCHIS SINENSIS
GBIF,CONTRACAECUM MULTIPAPILLATUM
USNPC,CONTRACAECUM MULTIPAPILLATUM
GBIF,CONTRACAECUM SPICULIGERUM
USNPC,CONTRACAECUM SPICULIGERUM
GBIF,COOPERIA CURTICEI
USNPC,COOPERIA CURTICEI
GBIF,COOPERIA ONCOPHORA
USNPC,COOPERIA ONCOPHORA
GBIF,COOPERIA PUNCTATA
USNPC,COOPERIA PUNCTATA
USNPC,COOPERIA SURNABADA
Feathermites,CORACIACARUS CUCULI
GBIF,CORALLOBOTHRIUM FIMBRIATUM
USNPC,CORALLOBOTHRIUM FIMBRIATUM
GBIF,CORYNOSOMA CONSTRICTUM
USNPC,CORYNOSOMA CONSTRICTUM
GBIF,COSMOCERCOIDES DUKAE
USNPC,COSMOCERCOIDES DUKAE
GBIF,COSMOCERCOIDES VARIABILIS
USNPC,COSMOCERCOIDES VARIABILIS
GBIF,CRASSICUTIS CICHLASOMAE
GBIF,CREPIDOSTOMUM COOPERI
USNPC,CREPIDOSTOMUM COOPERI
GBIF,CREPIDOSTOMUM CORNUTUM
USNPC,CREPIDOSTOMUM CORNUTUM
GBIF,CREPIDOSTOMUM FARIONIS
USNPC,CREPIDOSTOMUM FARIONIS
GBIF,CRUZIA TENTACULATA
USNPC,CRUZIA TENTACULATA
Vectormap,CTENOCEPHALIDES CANIS
GBIF,CTENOCEPHALIDES CANIS
Vectormap,CTENOCEPHALIDES FELIS
GBIF,CTENOCEPHALIDES FELIS
GBIF,CTENOPHTHALMUS AGYRTES
GBIF,CTENOPHTHALMUS ASSIMILIS
GBIF,CTENOPHTHALMUS BISOCTODENTATUS
GBIF,CTENOPHTHALMUS CONGENER
GBIF,CTENOPHTHALMUS HAAGI
GBIF,CTENOPHTHALMUS NIFETODES
GBIF,CTENOPHTHALMUS NOBILIS
GBIF,CTENOPHTHALMUS ORIENTALIS
GBIF,CTENOPHTHALMUS PSEUDAGYRTES
GBIF,CYATHOSTOMUM CATINATUM
USNPC,CYATHOSTOMUM CATINATUM
GBIF,CYLICOCYCLUS INSIGNE
USNPC,CYLICOCYCLUS INSIGNE
GBIF,CYLICOCYCLUS NASSATUS
USNPC,CYLICOCYCLUS NASSATUS
USNPC,CYLINDROTAENIA AMERICANA
GBIF,DASYPSYLLUS GALLINULAE
USNPC,DAVAINEA CESTICILLUS
USNPC,DAVAINEA TETRAGONA
GBIF,DERMACENTOR ALBIPICTUS
USNPC,DERMACENTOR ALBIPICTUS
GBIF,DERMACENTOR ANDERSONI
USNPC,DERMACENTOR ANDERSONI
Cumming,DERMACENTOR CIRCUMGUTTATUS
GBIF,DERMACENTOR CIRCUMGUTTATUS
GBIF,DERMACENTOR NITENS
USNPC,DERMACENTOR NITENS
GBIF,DERMACENTOR OCCIDENTALIS
GBIF,DERMACENTOR RETICULATUS
Cumming,DERMACENTOR RHINOCERINUS
GBIF,DERMACENTOR RHINOCERINUS
GBIF,DERMACENTOR VARIABILIS
USNPC,DERMACENTOR VARIABILIS
GBIF,DERMATOXYS VELIGERA
USNPC,DERMATOXYS VELIGERA
GBIF,DICTYOCAULUS FILARIA
USNPC,DICTYOCAULUS FILARIA
GBIF,DICTYOCAULUS VIVIPARUS
USNPC,DICTYOCAULUS VIVIPARUS
GBIF,DIPETALONEMA GRACILE
USNPC,DIPETALONEMA GRACILE
GBIF,DIPHYLLOBOTHRIUM LATUM
USNPC,DIPHYLLOBOTHRIUM LATUM
GBIF,DIPLOLAIMELLOIDES OSCHEI
USNPC,DIPYLIDIUM CANINUM
GBIF,DIROFILARIA IMMITIS
USNPC,DIROFILARIA IMMITIS
GBIF,DISPHARYNX SPIRALIS
USNPC,DISPHARYNX SPIRALIS
GBIF,DORATOPSYLLA DASYCNEMA
GBIF,DORYLAIMUS CARTERI
GBIF,DORYLAIMUS FILIFORMIS
GBIF,DORYLAIMUS STAGNALIS
GBIF,DRACUNCULUS INSIGNIS
USNPC,DRACUNCULUS INSIGNIS
Vectormap,ECHIDNOPHAGA GALLINACEA
GBIF,ECHIDNOPHAGA GALLINACEA
USNPC,ECHINOCOCCUS GRANULOSUS
GBIF,ECHINORHYNCHUS GADI
USNPC,ECHINORHYNCHUS GADI
GBIF,ECHINORHYNCHUS SALMONIS
USNPC,ECHINORHYNCHUS SALMONIS
GBIF,ECHINOSTOMA COALITUM
USNPC,ECHINOSTOMA COALITUM
GBIF,ECHINOSTOMA REVOLUTUM
USNPC,ECHINOSTOMA REVOLUTUM
USNPC,ELAEOPHORA SCHNEIDERI
GBIF,ENCYCLOMETRA COLUBRIMURORUM
USNPC,ENCYCLOMETRA COLUBRIMURORUM
GBIF,ETHMOLAIMUS PRATENSIS
USNPC,EUGENURIS SP.
USNPC,EUPARYPHIUM INERME
Feathermites,FALCULIFER ROSTRATUS
GBIF,FALCULIFER ROSTRATUS
GBIF,FASCIOLA HEPATICA
USNPC,FASCIOLA HEPATICA
GBIF,FASCIOLOIDES MAGNA
USNPC,FASCIOLOIDES MAGNA
Feathermites,GABUCINIA DELIBATA
GBIF,GABUCINIA DELIBATA
GBIF,GENARCHELLA ISABELLAE
USNPC,GLYPTHELMIS QUIETA
GBIF,GLYPTHELMIS QUIETA
GBIF,GONGYLONEMA NEOPLASTICUM
USNPC,GONGYLONEMA NEOPLASTICUM
GBIF,GONGYLONEMA PULCHRUM
USNPC,GONGYLONEMA PULCHRUM
USNPC,GONGYLONEMA SCUTATUM
GBIF,GONGYLONEMA VERRUCOSUM
USNPC,GONGYLONEMA VERRUCOSUM
USNPC,GRAPHIDIELLA OCHOTONAE
GBIF,HABRONEMA MUSCAE
USNPC,HABRONEMA MUSCAE
Cumming,HAEMAPHYSALIS ACICULIFER
GBIF,HAEMAPHYSALIS ACICULIFER
GBIF,HAEMAPHYSALIS CORNIGERA
Cumming,HAEMAPHYSALIS HOODI
Cumming,HAEMAPHYSALIS HOUYI
GBIF,HAEMAPHYSALIS HOUYI
Cumming,HAEMAPHYSALIS LEACHI
GBIF,HAEMAPHYSALIS LEACHI
GBIF,HAEMAPHYSALIS LEPORISPALUSTRIS
USNPC,HAEMAPHYSALIS LEPORISPALUSTRIS
Cumming,HAEMAPHYSALIS MORELI
Cumming,HAEMAPHYSALIS PARALEACHI
Cumming,HAEMAPHYSALIS PARMATA
GBIF,HAEMAPHYSALIS PARMATA
Cumming,HAEMAPHYSALIS PUNCTATA
GBIF,HAEMAPHYSALIS PUNCTATA
Cumming,HAEMAPHYSALIS SILACEA
GBIF,HAEMAPHYSALIS SILACEA
Cumming,HAEMAPHYSALIS SPINULOSA
GBIF,HAEMAPHYSALIS SPINULOSA
GBIF,HAEMATOPINUS EURYSTERNUS
USNPC,HAEMATOPINUS EURYSTERNUS
GBIF,HAEMONCHUS CONTORTUS
USNPC,HAEMONCHUS CONTORTUS
USNPC,HAEMONCHUS PLACEI
GBIF,HELICOTYLENCHUS DIHYSTERA
GBIF,HETERAKIS GALLINAE
GBIF,HETERAKIS PAPILLOSA
USNPC,HETERAKIS PAPILLOSA
USNPC,HETERAKIS PERSPICILLUM
GBIF,HETERAKIS SPUMOSA
USNPC,HETERAKIS SPUMOSA
GBIF,HETEROXYNEMA CUCULLATUM
GBIF,HEXAGLANDULA MUTABILIS
GBIF,HOPLOPLEURA ARBORICOLA
BeeMites,HORSTIA SP.
Cumming,HYALOMMA AEGYPTIUM
GBIF,HYALOMMA AEGYPTIUM
Cumming,HYALOMMA ALBIPARMATUM
Cumming,HYALOMMA ANATOLICUM
GBIF,HYALOMMA ANATOLICUM
Cumming,HYALOMMA DROMEDARII
GBIF,HYALOMMA DROMEDARII
Cumming,HYALOMMA IMPELTATUM
GBIF,HYALOMMA IMPELTATUM
Cumming,HYALOMMA IMPRESSUM
Cumming,HYALOMMA RUFIPES
Cumming,HYALOMMA TRUNCATUM
GBIF,HYALOMMA TRUNCATUM
GBIF,HYALOMMA TURANICUM
USNPC,HYMENOLEPIS DIMINUTA
BeeMites,HYPOPI SP.
GBIF,HYSTRICHOPSYLLA ORIENTALIS
GBIF,HYSTRICHOPSYLLA TALPAE
GBIF,IRONUS IGNAVUS
GBIF,ISCHNOPSYLLUS HEXACTENUS
GBIF,ISCHNOPSYLLUS INTERMEDIUS
GBIF,ISCHNOPSYLLUS OCTACTENUS
GBIF,IXODES ANGUSTUS
GBIF,IXODES ARAGAOI
GBIF,IXODES ARBORICOLA
Cumming,IXODES CAVIPALPUS
GBIF,IXODES COOKEI
Cumming,IXODES CUMULATIMPUNCTATUS
Cumming,IXODES FRONTALIS
GBIF,IXODES FRONTALIS
Cumming,IXODES HEXAGONUS
GBIF,IXODES HEXAGONUS
GBIF,IXODES HOLOCYCLUS
GBIF,IXODES KINGI
Cumming,IXODES LEWISI
GBIF,IXODES LIVIDUS
Cumming,IXODES MUNIENSIS
GBIF,IXODES MUNIENSIS
GBIF,IXODES PACIFICUS
Cumming,IXODES PILOSUS
GBIF,IXODES PILOSUS
Cumming,IXODES RASUS
GBIF,IXODES RASUS
Cumming,IXODES RUBICUNDUS
GBIF,IXODES RUBICUNDUS
GBIF,IXODES SCAPULARIS
USNPC,IXODES SCAPULARIS
GBIF,IXODES SCULPTUS
Cumming,IXODES SIMPLEX
GBIF,IXODES SIMPLEX
GBIF,IXODES SPINIPALPIS
GBIF,IXODES TRIANGULICEPS
GBIF,JELLISONIA BONIA
GBIF,JELLISONIA GRAYI
GBIF,JELLISONIA HAYESI
GBIF,JELLISONIA KLOTSI
GBIF,JELLISONIA WISEMANI
USNPC,KALICEPHALUS COSTATUS INDICUS
USNPC,KALICEPHALUS VIPERAE CHUNGKINGENSIS
GBIF,KOHLSIA PELAEZI
USNPC,LABIOSTOMUM RAUSCHI
GBIF,LEPTOLAIMUS PUCCINELLIAE
GBIF,LEPTOPSYLLA SEGNIS
GBIF,LEPTOPSYLLA TASCHENBERGI
GBIF,LEPTORHYNCHOIDES THECATUS
USNPC,LEPTORHYNCHOIDES THECATUS
GBIF,LIGULA INTESTINALIS
USNPC,LIGULA INTESTINALIS
GBIF,MACRACANTHORHYNCHUS INGENS
USNPC,MACRACANTHORHYNCHUS INGENS
GBIF,MACROPOSTHONIA ORNATA
Cumming,MARGAROPUS WINTHEMI
GBIF,MARGAROPUS WINTHEMI
GBIF,MARSHALLAGIA MARSHALLI
USNPC,MARSHALLAGIA MARSHALLI
USNPC,MAZAMASTRONGYLUS ODOCOILEI
USNPC,MAZAMASTRONGYLUS PURSGLOVEI
GBIF,MEDIORHYNCHUS GRANDIS
USNPC,MEDIORHYNCHUS GRANDIS
Vectormap,MEGABOTHRIS ABANTIS
GBIF,MEGABOTHRIS ABANTIS
GBIF,MEGABOTHRIS TURBIDUS
GBIF,MEGALODISCUS TEMPERATUS
USNPC,MEGALODISCUS TEMPERATUS
GBIF,MESOCESTOIDES LINEATUS
GBIF,MESOCOELIUM MONAS
USNPC,MESOCOELIUM MONAS
GBIF,METALINHOMOEUS PARAFILIFORMIS
GBIF,METASTRONGYLUS ELONGATUS
USNPC,METASTRONGYLUS ELONGATUS
GBIF,METROLIASTHES LUCIDA
USNPC,METROLIASTHES LUCIDA
GBIF,MEXICONEMA CICHLASOMAE
GBIF,MOLINEUS BARBATUS
USNPC,MOLINEUS BARBATUS
GBIF,MONHYSTERA FILIFORMIS
USNPC,MONIEZIA BENEDENI
USNPC,MONIEZIA EXPANSA
GBIF,MONILIFORMIS MONILIFORMIS
USNPC,MONILIFORMIS MONILIFORMIS
GBIF,MONOPSYLLUS SCIURORUM
GBIF,MYLONCHULUS BRACHYURIS
GBIF,MYLONCHULUS MINOR
GBIF,MYLONCHULUS SIGMATURUS
USNPC,NEMATODIRUS ABNORMALIS
GBIF,NEMATODIRUS FILICOLLIS
USNPC,NEMATODIRUS FILICOLLIS
USNPC,NEMATODIRUS HELVETIANUS
GBIF,NEMATODIRUS SPATHIGER
USNPC,NEMATODIRUS SPATHIGER
GBIF,NEOECHINORHYNCHUS CYLINDRATUS
USNPC,NEOECHINORHYNCHUS CYLINDRATUS
GBIF,NEOECHINORHYNCHUS GOLVANI
GBIF,NEOHAEMATOPINUS PACIFICUS
GBIF,NIPPOSTRONGYLUS BRASILIENSIS
USNPC,NIPPOSTRONGYLUS BRASILIENSIS
GBIF,NOSOPSYLLUS FASCIATUS
USNPC,NOTOCOTYLUS QUINQUESERIALIS
GBIF,OBELISCOIDES CUNICULI
USNPC,OBELISCOIDES CUNICULI
GBIF,OESOPHAGOSTOMUM COLUMBIANUM
USNPC,OESOPHAGOSTOMUM COLUMBIANUM
GBIF,OESOPHAGOSTOMUM DENTATUM
USNPC,OESOPHAGOSTOMUM DENTATUM
GBIF,OESOPHAGOSTOMUM RADIATUM
USNPC,OESOPHAGOSTOMUM RADIATUM
GBIF,OESOPHAGOSTOMUM VENULOSUM
USNPC,OESOPHAGOSTOMUM VENULOSUM
GBIF,OLIGOGONOTYLUS MANTERI
GBIF,ONCHOCERCA CERVIPEDIS
USNPC,ONCHOCERCA CERVIPEDIS
GBIF,OPHIDASCARIS ROBERTSI
GBIF,ORCHOPEAS HOWARDI
GBIF,ORCHOPEAS LEUCOPUS
Cumming,ORNITHODOROS ERRATICUS
Cumming,ORNITHODOROS MOUBATA
GBIF,ORNITHODOROS MOUBATA
Cumming,ORNITHODOROS SAVIGNYI
GBIF,ORNITHODOROS SAVIGNYI
Vectormap,OROPSYLLA HIRSUTA
Vectormap,OROPSYLLA MONTANA
GBIF,OROPSYLLA MONTANA
Vectormap,OROPSYLLA RUPESTRIS
GBIF,OROPSYLLA RUPESTRIS
Vectormap,OROPSYLLA TUBERCULATA
USNPC,OSTERTAGIA GRUEHNERI
USNPC,OSTERTAGIA MOSSI
GBIF,OSTERTAGIA OSTERTAGI
USNPC,OSTERTAGIA OSTERTAGI
GBIF,OSWALDOCRUZIA PIPIENS
USNPC,OSWALDOCRUZIA PIPIENS
USNPC,OTOBIUS MEGNINI
Cumming,OTOBIUS MEGNINI
GBIF,OTOBIUS MEGNINI
GBIF,OXYURIS EQUI
USNPC,OXYURIS EQUI
GBIF,PALAEOPSYLLA KOHAUTI
GBIF,PALAEOPSYLLA SIMILIS
GBIF,PALAEOPSYLLA SORICIS
GBIF,PANAGROLAIMUS RIGIDUS
GBIF,PARAETHMOLAIMUS DAHLI
GBIF,PARAGONIMUS KELLICOTTI
USNPC,PARAGONIMUS KELLICOTTI
USNPC,PARAGONIMUS WESTERMANII
GBIF,PARAMPHISTOMUM CERVI
USNPC,PARAMPHISTOMUM CERVI
USNPC,PARAMPHISTOMUM LIORCHIS
USNPC,PARAMPHISTOMUM MICROBOTHRIOIDES
USNPC,PARELAPHOSTRONGYLUS ODOCOILEI
USNPC,PARELAPHOSTRONGYLUS TENUIS
GBIF,PEROMYSCOPSYLLA BIDENTATA
GBIF,PEROMYSCOPSYLLA FALLAX
GBIF,PHARYNGOSTOMOIDES PROCYONIS
GBIF,PHILOPTERUS CINCLI
GBIF,PHYSALOPTERA MAXILLARIS
USNPC,PHYSALOPTERA MAXILLARIS
GBIF,PHYSALOPTERA PRAEPUTIALIS
USNPC,PHYSALOPTERA PRAEPUTIALIS
GBIF,PHYSALOPTERA RARA
USNPC,PHYSALOPTERA RARA
GBIF,PHYSALOPTERA RETUSA
USNPC,PHYSALOPTERA RETUSA
GBIF,PHYSOCEPHALUS SEXALATUS
USNPC,PHYSOCEPHALUS SEXALATUS
GBIF,PLAGIORCHIS PROXIMUS
USNPC,PLAGIORCHIS PROXIMUS
GBIF,PLAGIORCHIS VESPERTILIONIS
USNPC,PLAGIORHYNCHUS FORMOSUS
GBIF,PLECTUS CIRRATUS
GBIF,PLECTUS COMMUNIS
GBIF,PLECTUS PARVUS
GBIF,PLEOCHAETIS MUNDUS
GBIF,PLEOCHAETIS PARAMUNDUS
GBIF,PLUSAETIS MATHESONI
GBIF,PLUSAETIS PARUS
GBIF,PLUSAETIS PONSI
GBIF,PLUSAETIS SIBYNUS
GBIF,PLUSAETIS SOBERONI
Vectormap,POLYGENIS GWYNI
GBIF,POLYGENIS GWYNI
GBIF,POMPHORHYNCHUS BULBOCOLLI
USNPC,POMPHORHYNCHUS BULBOCOLLI
Feathermites,PROCTOPHYLLODES PINNATUS
GBIF,PROCTOPHYLLODES PINNATUS
Feathermites,PROCTOPHYLLODES TRONCATUS
GBIF,PROCTOPHYLLODES TRONCATUS
GBIF,PROSTHENORCHIS ELEGANS
USNPC,PROSTHENORCHIS ELEGANS
GBIF,PROTEOCEPHALUS AMBLOPLITIS
USNPC,PROTEOCEPHALUS AMBLOPLITIS
GBIF,PULEX IRRITANS
GBIF,PULEX SIMULANS
GBIF,PUNCTODORA RATZEBURGENSIS
GBIF,PYGIOPSYLLA HOPLIA
USNPC,RAILLIETINA (SKRJABINIA) CESTICILLUS
GBIF,RHABDIAS RANAE
USNPC,RHABDIAS RANAE
GBIF,RHABDITIS MARINA
GBIF,RHABDOCHONA KIDDERI
GBIF,RHABDOLAIMUS TERRESTRIS
GBIF,RHADINOPSYLLA INTEGELLA
Cumming,RHIPICENTOR BICORNIS
Cumming,RHIPICENTOR NUTTALLI
GBIF,RHIPICENTOR NUTTALLI
USNPC,RHIPICEPHALUS ANNULATUS
Cumming,RHIPICEPHALUS ANNULATUS
GBIF,RHIPICEPHALUS ANNULATUS
Cumming,RHIPICEPHALUS APPENDICULATUS
GBIF,RHIPICEPHALUS APPENDICULATUS
Cumming,RHIPICEPHALUS BERGEONI
Cumming,RHIPICEPHALUS CAPENSIS
GBIF,RHIPICEPHALUS CAPENSIS
Cumming,RHIPICEPHALUS CARNIVORALIS
Cumming,RHIPICEPHALUS COMPLANATUS
Cumming,RHIPICEPHALUS COMPOSITUS
GBIF,RHIPICEPHALUS COMPOSITUS
Cumming,RHIPICEPHALUS CUSPIDATUS
Cumming,RHIPICEPHALUS DECOLORATUS
Cumming,RHIPICEPHALUS DISTINCTUS
Cumming,RHIPICEPHALUS DUX
Cumming,RHIPICEPHALUS EVERTSI
Cumming,RHIPICEPHALUS EXOPTHALMOS
Cumming,RHIPICEPHALUS GEIGYI
Cumming,RHIPICEPHALUS GLABROSCUTATUS
GBIF,RHIPICEPHALUS GLABROSCUTATUS
Cumming,RHIPICEPHALUS GUILHONI
GBIF,RHIPICEPHALUS HAEMAPHYSALOIDES
Cumming,RHIPICEPHALUS HUMERALIS
GBIF,RHIPICEPHALUS HUMERALIS
Cumming,RHIPICEPHALUS KOCHI GROUP
Cumming,RHIPICEPHALUS LONGICOXATUS
Cumming,RHIPICEPHALUS LONGUS
GBIF,RHIPICEPHALUS LONGUS
Cumming,RHIPICEPHALUS LUNULATUS
Cumming,RHIPICEPHALUS MACULATUS
GBIF,RHIPICEPHALUS MACULATUS
Cumming,RHIPICEPHALUS MASSEYI
GBIF,RHIPICEPHALUS MASSEYI
Cumming,RHIPICEPHALUS MICROPLUS
USNPC,RHIPICEPHALUS MICROPLUS
GBIF,RHIPICEPHALUS MICROPLUS
Cumming,RHIPICEPHALUS MUEHLENSI
GBIF,RHIPICEPHALUS MUEHLENSI
Cumming,RHIPICEPHALUS MUHSAMAE
Cumming,RHIPICEPHALUS NITENS
Cumming,RHIPICEPHALUS OCULATUS
GBIF,RHIPICEPHALUS OCULATUS
GBIF,RHIPICEPHALUS PILANS
Cumming,RHIPICEPHALUS PLANUS 
Cumming,RHIPICEPHALUS PRAETEXTATUS
Cumming,RHIPICEPHALUS PRAVUS
GBIF,RHIPICEPHALUS PRAVUS
Cumming,RHIPICEPHALUS PULCHELLUS
GBIF,RHIPICEPHALUS PULCHELLUS
Cumming,RHIPICEPHALUS PUNCTATUS
Cumming,RHIPICEPHALUS SANGUINEUS
GBIF,RHIPICEPHALUS SANGUINEUS
USNPC,RHIPICEPHALUS SANGUINEUS
Cumming,RHIPICEPHALUS SENEGALENSIS
GBIF,RHIPICEPHALUS SENEGALENSIS
Cumming,RHIPICEPHALUS SIMPSONI
GBIF,RHIPICEPHALUS SIMPSONI
Cumming,RHIPICEPHALUS SIMUS
GBIF,RHIPICEPHALUS SIMUS
Cumming,RHIPICEPHALUS SULCATUS
GBIF,RHIPICEPHALUS SULCATUS
Cumming,RHIPICEPHALUS SUPERTRITUS
GBIF,RHIPICEPHALUS SUPERTRITUS
Cumming,RHIPICEPHALUS TRICUSPIS
GBIF,RHIPICEPHALUS TRICUSPIS
Cumming,RHIPICEPHALUS TURANICUS
GBIF,RHIPICEPHALUS TURANICUS
Cumming,RHIPICEPHALUS ZAMBEZIENSIS
Cumming,RHIPICEPHALUS ZIEMANNI
GBIF,RHOPALIAS MACRACANTHUS
GBIF,SARCOPTES SCABIEI
USNPC,SARCOPTES SCABIEI
GBIF,SCHISTOSOMA HAEMATOBIUM
GBIF,SCHISTOSOMA MANSONI
BeeMites,SENNERTIA SP.
BeeMites,SENNERTIONYX SP.
GBIF,SETARIA EQUINA
USNPC,SETARIA EQUINA
GBIF,SETARIA LABIATOPAPILLOSA
USNPC,SETARIA LABIATOPAPILLOSA
USNPC,SETARIA YEHI
GBIF,SOBOLIPHYME BATURINI
USNPC,SPAULIGODON GIGANTICUS
GBIF,SPILOPSYLLUS CUNICULI
GBIF,SPIROCAMALLANUS REBECAE
GBIF,STICHORCHIS SUBTRIQUETRUS
GBIF,STRIGEA FALCONIS
USNPC,STRONGYLURIS BREVICAUDATA
GBIF,STRONGYLUS EDENTATUS
USNPC,STRONGYLUS EDENTATUS
GBIF,STRONGYLUS EQUINUS
USNPC,STRONGYLUS EQUINUS
GBIF,STRONGYLUS VULGARIS
USNPC,STRONGYLUS VULGARIS
GBIF,SYNGAMUS TRACHEA
USNPC,SYNGAMUS TRACHEA
GBIF,SYPHACIA EUTAMII
GBIF,SYPHACIA OBVELATA
USNPC,SYPHACIA OBVELATA
GBIF,TABASCOTREMA VERAI
USNPC,TAENIA HYDATIGENA
USNPC,TAENIA PISIFORMIS
USNPC,TAENIA SAGINATA
USNPC,TAENIA SERIALIS
USNPC,TAENIA SOLIUM 
USNPC,TAENIA TAENIAEFORMIS
GBIF,TELADORSAGIA CIRCUMCINCTA
USNPC,TELADORSAGIA CIRCUMCINCTA
GBIF,TERATOCEPHALUS TERRESTRIS
Vectormap,THRASSIS BACCHI
GBIF,THRASSIS BACCHI
Vectormap,THRASSIS BACCHI BACCHI
Vectormap,THRASSIS BACCHI GLADIOLIS
USNPC,THYSANOSOMA ACTINIOIDES
GBIF,TOBRILUS GRACILIS
BeeMites,TORTONIA SP.
GBIF,TOXASCARIS LEONINA
USNPC,TOXASCARIS LEONINA
GBIF,TOXOCARA CANIS
USNPC,TOXOCARA CANIS
GBIF,TOXOCARA CATI
USNPC,TOXOCARA CATI
GBIF,TOXOCARA MYSTAX
USNPC,TOXOCARA MYSTAX
GBIF,TRAVASSOSIUS AMERICANUS
GBIF,TRICHINELLA SPIRALIS
USNPC,TRICHINELLA SPIRALIS
GBIF,TRICHODECTES ERMINEAE
GBIF,TRICHOSTRONGYLUS AXEI
USNPC,TRICHOSTRONGYLUS AXEI
GBIF,TRICHOSTRONGYLUS CALCARATUS
USNPC,TRICHOSTRONGYLUS CALCARATUS
GBIF,TRICHOSTRONGYLUS COLUBRIFORMIS
USNPC,TRICHOSTRONGYLUS COLUBRIFORMIS
GBIF,TRICHURIS OVIS
USNPC,TRICHURIS OVIS
GBIF,TURGIDA TURGIDA
USNPC,TURGIDA TURGIDA
BeeMites,TYROPHAGUS PUTRESCENTIAE
GBIF,TYROPHAGUS PUTRESCENTIAE
GBIF,TYROPHAGUS SIMILIS
BeeMites,VIDIA SP.
Vectormap,XENOPSYLLA CHEOPIS
GBIF,XENOPSYLLA CHEOPIS
GBIF,XIPHINEMA ELONGATUM
GBIF,XIPHINEMA RADICICOLA
GBIF,ZYGOCOTYLE LUNATA
USNPC,ZYGOCOTYLE LUNATA
